username,totalVideos,avgViewCount,minViewCount,maxViewCount,avgLikeCount,minLikeCount,maxLikeCount,avgCommentCount,minCommentCount,maxCommentCount,avgShareCount,minShareCount,maxShareCount
espn,1235,1201870.87,110,66907655,81683.91,2,3710932,616.09,0,46113,4172.57,0,636812
nee,982,1364.39,0,532677,95.44,0,32176,5.16,0,408,9.32,0,6320
bts,906,3590.89,1,657144,649.41,0,136884,15.2,0,5260,34.07,0,17380
billieeilish,892,228952.65,0,84765825,29898.15,0,12982828,228.84,0,80169,463.88,0,169447
messi,885,2029.06,0,1066225,63.15,0,21696,3.53,0,970,3.23,0,690
straykids,842,960.79,0,147961,146.71,0,35919,4.12,0,459,6.95,0,1670
bankzitters,840,87422.74,1,2065454,7700.85,0,189064,57.15,0,1956,227.52,0,13626
barcelona,822,2636.8,1,307844,185.32,0,20656,3.8,0,216,16.61,0,2329
realmadrid,806,236980.33,0,11895857,22790.36,0,1129528,189.1,0,23087,242.46,0,31635
ronaldo,805,1364.77,0,429145,124.1,0,66421,3.23,0,1249,5.08,0,1409
championsleague,787,4288572.99,0,76695858,428392.51,0,9046407,2897.98,0,286161,7994.64,0,393660
fortnite,777,26267.75,1,8205834,1713.7,0,727317,50.7,0,14454,128.85,0,52856
charlidamelio,764,3871095.48,0,86383019,234251.79,0,7789689,1365.39,0,56176,3054.8,0,259894
gio,730,4686.47,5,690032,391.28,0,123551,29.49,0,11157,29.67,0,17834
samandcolby,691,11849.97,10,1705624,1557.77,0,373810,17.13,0,1517,24.16,0,8705
mrbeast,690,300029.05,0,37373871,22016.58,0,3531134,324.79,0,42965,889.09,0,281592
feyenoord,671,99376.77,5,6345202,9249.27,0,364374,80.15,0,4029,246.25,0,39333
ajax,627,718.16,0,22025,66.88,0,2321,5.81,0,177,1.61,0,140
ishowspeed,606,664705.11,0,103452629,59859,0,9801290,534.9,0,86756,2112.45,0,602199
taylorswift,508,11141.49,0,3582185,1579.48,0,553002,17.87,0,2721,119.02,0,45356
appelkaas,499,81494.8,3218,1019461,7116.35,226,73061,206.78,6,3453,469.62,1,14621
khabylame,455,192.56,0,10595,16.37,0,93,1.12,0,22,0.72,0,37
geen,370,683.06,13,94198,46.15,0,7055,1.01,0,77,14.72,0,4805
jadeanna,293,818608.45,258133,4825696,55186.87,5678,229170,250.1,24,2988,768.43,9,30037
kyliejenner,203,12074697.16,0,85906429,1097783.82,0,9632260,2654.99,0,31072,15341.95,0,333444
marijnkuipers,188,633076.96,115721,8247322,43512.97,4881,1021405,111.63,12,2514,809.43,1,21132
miakhalifa,172,4432212.37,0,54895116,152031.27,0,3651215,2475.97,0,52040,12213.14,0,330169
apsonarmy,159,1761615.94,186346,16094047,161703.86,12288,2144585,1248.09,97,14091,8207.23,17,98667
rhodekok,154,912180.92,229697,8008081,80426.12,10359,480231,304.28,22,2108,1845.97,9,137996
kleinejohn,122,329281.08,37465,3108519,24437.09,2632,379492,459.91,6,8736,673.99,8,7691
duncantromp,88,727462.39,290790,2375755,87056.84,28871,216340,568.43,73,3950,2026.48,15,25537
myronkoops,81,768844.06,196639,2023173,60626.21,9275,162853,379.84,38,4818,462.05,7,5349
qucee,59,630301.41,97324,2044540,45499.46,3415,184734,479.51,16,4198,1910.36,10,25332
stijnsaman,58,468167.93,686,4756335,52878.38,33,159092,401.67,2,1730,2516.22,0,16395
vrienden,32,466.91,54,2234,12.47,5,24,0.12,0,2,0.69,0,5
enzoknol,21,1115482,260530,4028361,76249.52,17169,237949,839.1,157,5263,1173.67,143,4548
isae,20,1442.8,5,15517,89.65,1,1308,2.5,0,30,10.6,0,195
touzani,20,87392.5,272,1422602,1759.75,3,30458,41.65,0,722,1163.55,0,21508
royalistiq,15,353693.4,54467,718638,23018.2,2006,42125,291.87,21,872,3139.93,32,10008
fatoemakers,6,479518.83,219095,801244,33448.5,16685,54166,508.33,46,2521,343.33,14,1878
vriendinnen,1,149673,149673,149673,6559,6559,6559,1047,1047,1047,1022,1022,1022
geenidee,1,40,40,40,2,2,2,0,0,0,1,1,1
