username,follower_count,likes_count,video_count,engagement_rate,popularity_score
charlidamelio,157373715,11872152142,2846,2.65,484328.51
espn,52059184,7165417847,36340,0.38,289740.26
championsleague,48251481,1846310129,1767,2.17,76747.49
kyliejenner,56928818,1522253801,504,5.31,64305.88
realmadrid,56424255,1315022930,2382,0.98,55986.37
mrbeast,115046916,1126211146,398,2.46,51951.26
miakhalifa,38999928,649912585,722,2.31,28336.5
billieeilish,71291000,467974156,70,9.38,22996.43
ishowspeed,40750692,307097955,27,27.91,14728.96
taylorswift,32679787,248003453,71,10.69,11880.93
fortnite,16367918,155613825,939,1.01,7206.63
jadeanna,1808030,157619196,2600,3.35,6413.25
apsonarmy,1657307,80069753,677,7.14,3302.23
rhodekok,1262503,78822483,1012,6.17,3228.65
duncantromp,1081751,69149403,674,9.48,2830.88
marijnkuipers,771621,50109105,1321,4.92,2050.66
feyenoord,1987007,40893188,1188,1.73,1754.95
stijnsaman,781065,40545717,676,7.68,1668.69
appelkaas,547936,28168272,4389,1.17,1159.61
bankzitters,748166,25362845,278,12.19,1059.4
samandcolby,3775312,20568963,413,1.32,1049.28
myronkoops,880748,23814332,441,6.13,1005.42
qucee,1009043,22432844,332,6.7,957.86
enzoknol,1391792,20432411,135,10.87,900.8
kleinejohn,446376,15728122,453,7.78,655.91
ronaldo,4011966,1922028,3,15.97,317.6
gio,410478,3368657,23,35.68,159.37
royalistiq,208618,1310937,50,12.57,64.95
barcelona,10245,227875,295,7.54,9.73
messi,15752,17571,4,27.89,1.65
zaargoedemans,2428,0,0,0,0.15
ajax,952,208,5,4.37,0.07
straykids,1095,0,0,0,0.07
bts,727,0,0,0,0.04
isae,86,842,8,122.38,0.04
khabylame,384,0,0,0,0.02
nee,100,21,0,0,0.01
lieszhara,146,114,2,39.04,0.01
touzani,24,41,6,28.47,0
fatoemakers,41,0,0,0,0
geen,51,0,0,0,0
vriendinnen,15,16,2,53.33,0
vrienden,39,0,0,0,0
weetikniet,9,0,0,0,0
katiefang,7,0,0,0,0
geenidee,18,0,0,0,0
