username,total_videos,short_videos,short_percentage,mid_videos,mid_percentage,long_videos,long_percentage,extra_long_videos,extra_long_percentage
espn,1235,608,49.23,519,42.02,104,8.42,4,0.32
nee,982,390,39.71,541,55.09,50,5.09,1,0.10
billieeilish,942,739,78.45,183,19.43,18,1.91,2,0.21
bts,906,536,59.16,306,33.77,62,6.84,2,0.22
messi,885,447,50.51,398,44.97,40,4.52,0,0.00
straykids,842,602,71.50,208,24.70,32,3.80,0,0.00
bankzitters,840,549,65.36,250,29.76,41,4.88,0,0.00
barcelona,822,440,53.53,333,40.51,46,5.60,3,0.36
realmadrid,806,426,52.85,316,39.21,60,7.44,4,0.50
ronaldo,805,396,49.19,362,44.97,45,5.59,2,0.25
championsleague,787,523,66.45,194,24.65,67,8.51,3,0.38
fortnite,777,467,60.10,256,32.95,48,6.18,6,0.77
charlidamelio,764,433,56.68,299,39.14,32,4.19,0,0.00
gio,730,336,46.03,324,44.38,69,9.45,1,0.14
samandcolby,691,542,78.44,133,19.25,14,2.03,2,0.29
mrbeast,690,196,28.41,378,54.78,107,15.51,9,1.30
feyenoord,671,406,60.51,234,34.87,30,4.47,1,0.15
ajax,627,365,58.21,245,39.07,17,2.71,0,0.00
ishowspeed,606,255,42.08,221,36.47,127,20.96,3,0.50
taylorswift,508,297,58.46,175,34.45,35,6.89,1,0.20
appelkaas,499,328,65.73,158,31.66,13,2.61,0,0.00
khabylame,455,170,37.36,162,35.60,113,24.84,10,2.20
geen,370,150,40.54,142,38.38,76,20.54,2,0.54
jadeanna,293,101,34.47,55,18.77,136,46.42,1,0.34
kyliejenner,203,91,44.83,75,36.95,37,18.23,0,0.00
marijnkuipers,188,88,46.81,40,21.28,60,31.91,0,0.00
miakhalifa,172,85,49.42,67,38.95,15,8.72,5,2.91
apsonarmy,159,50,31.45,106,66.67,3,1.89,0,0.00
rhodekok,154,20,12.99,93,60.39,41,26.62,0,0.00
kleinejohn,122,26,21.31,88,72.13,8,6.56,0,0.00
duncantromp,88,8,9.09,62,70.45,18,20.45,0,0.00
myronkoops,81,15,18.52,23,28.40,41,50.62,2,2.47
qucee,59,6,10.17,52,88.14,1,1.69,0,0.00
stijnsaman,58,2,3.45,32,55.17,24,41.38,0,0.00
vrienden,32,17,53.13,15,46.88,0,0.00,0,0.00
enzoknol,21,9,42.86,10,47.62,2,9.52,0,0.00
touzani,20,3,15.00,6,30.00,11,55.00,0,0.00
isae,20,14,70.00,5,25.00,1,5.00,0,0.00
royalistiq,15,1,6.67,13,86.67,1,6.67,0,0.00
fatoemakers,6,0,0.00,6,100.00,0,0.00,0,0.00
vriendinnen,1,1,100.00,0,0.00,0,0.00,0,0.00
geenidee,1,1,100.00,0,0.00,0,0.00,0,0.00
