username,total_videos,videos_with_hashtags,videos_with_description,videos_with_voice,videos_with_all_fields,hashtags_pct,description_pct,voice_pct,all_fields_pct
ishowspeed,606,402,429,62,1,66.34,70.79,10.23,0.17
espn,1235,1147,1233,639,2,92.87,99.84,51.74,0.16
nee,982,581,725,5,0,59.16,73.83,0.51,0.00
billieeilish,942,687,795,24,0,72.93,84.39,2.55,0.00
bts,906,530,637,16,0,58.50,70.31,1.77,0.00
messi,885,295,368,12,0,33.33,41.58,1.36,0.00
straykids,842,620,712,17,0,73.63,84.56,2.02,0.00
bankzitters,840,665,787,123,0,79.17,93.69,14.64,0.00
barcelona,822,336,394,11,0,40.88,47.93,1.34,0.00
realmadrid,806,359,462,17,0,44.54,57.32,2.11,0.00
ronaldo,805,312,380,10,0,38.76,47.20,1.24,0.00
championsleague,787,576,625,47,0,73.19,79.42,5.97,0.00
fortnite,777,325,393,32,0,41.83,50.58,4.12,0.00
charlidamelio,764,476,644,49,0,62.30,84.29,6.41,0.00
gio,730,344,445,47,0,47.12,60.96,6.44,0.00
samandcolby,691,369,515,34,0,53.40,74.53,4.92,0.00
mrbeast,690,366,426,51,0,53.04,61.74,7.39,0.00
feyenoord,671,330,504,59,0,49.18,75.11,8.79,0.00
ajax,627,355,437,19,0,56.62,69.70,3.03,0.00
taylorswift,508,385,432,30,0,75.79,85.04,5.91,0.00
appelkaas,499,375,474,292,0,75.15,94.99,58.52,0.00
khabylame,455,204,222,6,0,44.84,48.79,1.32,0.00
geen,370,210,349,7,0,56.76,94.32,1.89,0.00
jadeanna,293,24,263,92,0,8.19,89.76,31.40,0.00
kyliejenner,203,36,162,43,0,17.73,79.80,21.18,0.00
marijnkuipers,188,75,186,79,0,39.89,98.94,42.02,0.00
miakhalifa,172,38,100,33,0,22.09,58.14,19.19,0.00
apsonarmy,159,133,157,106,0,83.65,98.74,66.67,0.00
rhodekok,154,27,144,72,0,17.53,93.51,46.75,0.00
kleinejohn,122,119,121,23,0,97.54,99.18,18.85,0.00
duncantromp,88,17,88,51,0,19.32,100.00,57.95,0.00
myronkoops,81,59,81,23,0,72.84,100.00,28.40,0.00
qucee,59,15,59,44,0,25.42,100.00,74.58,0.00
stijnsaman,58,6,58,40,0,10.34,100.00,68.97,0.00
vrienden,32,23,25,2,0,71.88,78.13,6.25,0.00
enzoknol,21,8,20,9,0,38.10,95.24,42.86,0.00
isae,20,10,15,1,0,50.00,75.00,5.00,0.00
touzani,20,12,12,1,0,60.00,60.00,5.00,0.00
royalistiq,15,15,15,9,0,100.00,100.00,60.00,0.00
fatoemakers,6,6,6,5,0,100.00,100.00,83.33,0.00
geenidee,1,0,1,0,0,0.00,100.00,0.00,0.00
vriendinnen,1,1,1,0,0,100.00,100.00,0.00,0.00
